code,libelle,age_apparition,cim,GARD,MedDRA,MeSH,OMIM,prevalence,synonymes,UMLS
29,Acidurie mévalonique,"Petite enfance, Néonatal, Enfance",E88.8,3588,10072219,D054078,610377,<1 / 1 000 000,Déficit complet en mévalonate kinase ; MVA,C0342731  C1959626
30,Acidurie orotique héréditaire,"Petite enfance, Néonatal",E79.8,5429,10052621,C537136,258900,<1 / 1 000 000,Déficit en décarboxylase orotidylique ; Déficit en uridine monophosphate synthase ; Oroticacidurie,C0220987  C0268130
31,Acidurie oxoglutarique,Néonatal,E88.8,617,-,C536582,203740,Inconnu,Déficit en alpha-cétoglutarate déshydrogénase,C2752074
32,Déficit en glutathion synthétase,Néonatal,D55.1,10047,-,C536835,231900  266130,<1 / 1 000 000,Acidurie pyroglutamique,C0398746  C1291643
33,Acidémie isovalérique,"Petite enfance, Enfance",E71.1,465,-,C538167,243500,1-9 / 100 000,Déficit en Isovaléryl-CoA déshydrogénase,C0268575
34,Acidémie pipécolique,-,-,2846,-,D018901,239400,-,Hyperpipécolatémie,C0268537  C0282526
35,Acidémie propionique,"Petite enfance, Néonatal",E71.1,467,-,D056693,606054,1-9 / 1 000 000,Acidurie propionique ; Déficit en propionyl-CoA carboxylase ; Glycinémie cétosique,C0268579  C0311298  C2717876
36,Syndrome acro-calleux,Néonatal,Q04.0,5721,-,-,200990,<1 / 1 000 000,ACS,C0796147  C2931760
37,Acrodermatite entéropathique,"Petite enfance, Néonatal",E83.2,5723,-,-,201100,Inconnu,AEZ ; Déficit héréditaire en zinc,C0221036
38,Acro-kérato-élastoïdose de Costa,"Adolescence, Adulte",Q82.8,125,-,C535653,101850,Inconnu,AKE ; Hyperkératose palmoplantaire ponctuée type 3 ; KPPP3 ; Kératodermie palmoplantaire ponctuée type 3 ; PPKP3,C0545044
39,Acromélanose,"Petite enfance, Néonatal",L81.4,4500,-,-,-,<1 / 1 000 000,-,C0406779
40,Dysplasie acromésomélique type Maroteaux,"Petite enfance, Néonatal",Q77.8,507,-,C535661,602875,<1 / 1 000 000,-,C1864356
41,Dyschromatose symétrique des extrémités,Enfance,L81.8,334,-,C535729,127400,Inconnu,Acropigmentation de Dohi,C0406775
42,Déficit en acyl-CoA déshydrogénase des acides gras à chaîne moyenne,"Petite enfance, Néonatal",E71.3,540,-,C536038,201450,1-9 / 100 000,Déficit en MCAD ; Déficit en acyl-coenzymeA déshydrogénase des acides gras à chaîne moyenne ; Déficit en carnitine par déficit en acyl-CoA déshydrogénase des acides gras à chaîne moyenne ; MCADD,C0220710
43,Adrénoleucodystrophie liée à l'X,Tout âge,E71.3,5758,10051260,D000326,300100  302700,1-9 / 100 000,ALD ; ALD liée à l'X ; X-ALD,C0162309
44,Adrénoleucodystrophie néonatale,"Petite enfance, Néonatal, Enfance",E71.3,559,-,D018901,202370  266510  601539  614863  614867  614871  614873  614877  614885  614920  617370,Inconnu,NALD,C0282525
45,Déficit en adénosine monophosphate désaminase,Tout âge,G71.3,547,-,C538234,612874  615511,Inconnu,Déficit en AMP désaminase ; Déficit en myoadénylate désaminase,C0268123  C2931781
46,Déficit en adénylosuccinate lyase,"Enfance, Néonatal, Petite enfance",E79.8,550,-,C538235,103050,<1 / 1 000 000,Déficit en ADSL ; Déficit en adénylosuccinase,C0268126
47,Agammaglobulinémie liée à l'X,Enfance,D80.0,1033,10060360,C537409,300310  300755,1-9 / 1 000 000,Agammaglobulinémie type Bruton ; Déficit en BTK,C0221026
48,Absence congénitale bilatérale des canaux déférents,"Adolescence, Adulte",Q55.4,5461,10010670,C535984,277180  300985,1-5 / 10 000,Agénésie congénitale bilatérale des canaux déférents ; Aplasie congénitale bilatérale des canaux déférents,C0403814
49,Agénésie pénienne,"Prénatal, Néonatal",Q55.5,4272,-,C536649,-,<1 / 1 000 000,Agénésie du pénis ; Aphallia,C1387005
50,Syndrome d'Aicardi,Néonatal,Q04.0,5764,10054935,D058540,304050,Inconnu,Syndrome d'agénésie du corps calleux-anomalie choriorétinienne,C0175713
51,Syndrome d'Aicardi-Goutières,"Petite enfance, Néonatal",G31.8,575,-,C535607,114100  225750  610181  610329  610333  612952  615010  615846,Inconnu,Encéphalopathie familiale avec calcifications intracrâniennes et lymphocytose chronique du LCR ; Syndrome d'encéphalopathie-calcification des ganglions basaux,C0393591
52,Syndrome d'Alagille,Tout âge,Q44.7,804,10053870,D016738,118450  610205,Inconnu,Dysplasie artério-hépatique ; Paucité des voies biliaires syndromique ; Syndrome d'Alagille-Watsons,C0085280
53,Ostéopétrose d'Albers-Schönberg,Enfance,Q78.2,383,-,-,166600,1-9 / 100 000,Ostéopétrose autosomique dominante type 2,C3179239
54,Albinisme oculaire récessif lié à l'X,"Petite enfance, Néonatal",E70.3,8471,-,C537863,300500,1-9 / 1 000 000,AO1 ; Albinisme oculaire type 1 ; Albinisme oculaire type Nettleship-Falls,C0342684
55,Albinisme oculo-cutané,Néonatal,E70.3,10958,-,D016115,-,1-9 / 100 000,AOC,C0078918
56,Alcaptonurie,"Adulte, Petite enfance",E70.2,5775,10001689,C537862  D000474,203500,1-9 / 1 000 000,Déficit en homogentisicase ; Déficit en oxydase de l'acide homogentisique ; Ochronose héréditaire,C0002066  C2931645
57,Glycogénose par déficit en aldolase A musculaire,Néonatal,E74.0,600,-,-,611881,Inconnu,GSD par déficit en aldolase A musculaire ; GSD type 12 ; GSD type XII ; Glycogénose type 12 ; Glycogénose type XII,C0272066
58,Maladie d'Alexander,Tout âge,E75.2,5774,-,D038261,203450,Inconnu,AxD,C0270726
59,Syndrome d'Allan-Herndon-Dudley,"Néonatal, Petite enfance",G31.8,5617,-,C537047,300523,<1 / 1 000 000,Déficit en MCT8 ; Déficit en transporteur 8 de monocarboxylate ; Syndrome de déficience intellectuelle liée à l'X-hypotonie,C0795889
60,Déficit en alpha-1-antitrypsine,Tout âge,E88.0,5784,10001806,C531610  D019896,613490,1-5 / 10 000,Déficit en inhibiteur d'Alpha-1 protéinase,C0221757  C3501835
61,Alpha-mannosidose,"Petite enfance, Néonatal, Enfance",E77.1,6968,-,D008363,248500,1-9 / 1 000 000,Déficit en alpha-D-mannosidase lysosomale,C0024748
62,Dystrophie musculaire des ceintures autosomique récessive type 2D,"Adolescence, Enfance",G71.0,438,-,-,608099,Inconnu,Alpha-sarcoglycanopathie ; Dystrophie musculaire des ceintures par déficit en alpha-sarcoglycane ; LGMD2D,C1842550  C2936332
63,Syndrome d'Alport,Enfance,Q87.8,5785,10001843,D009394,104200  203780  301050,1-9 / 100 000,Syndrome de surdité-néphropathie,C1567741
64,Syndrome d'Alström,"Petite enfance, Néonatal, Enfance, Adolescence, Adulte",Q87.8,5787,10068783,D056769,203800,1-9 / 1 000 000,-,C0268425
65,Amaurose congénitale de Leber,"Petite enfance, Néonatal",H35.5,634,10070667,D057130,179900  204000  204100  604232  604393  604537  608553  610612  611755  612712  613341  613826  613829  613835  613837  613843  614186  615360,1-9 / 100 000,-,C0339527
67,Amibiase à Entamoeba histolytica,Tout âge,A06.0  A06.1  A06.2  A06.3  A06.4  A06.5  A06.6  A06.7  A06.8  A06.9,-,-,C531613,-,Inconnu,-,C2930799
68,Amibiase à amibes libres,Tout âge,B60.1  B60.2,12650,-,-,-,1-9 / 100 000,-,-
69,Amylose,Tout âge,E85.0  E85.1  E85.2  E85.3  E85.4  E85.8  E85.9,-,10002022,D000686,-,Inconnu,Amyloïdose,C0002726
70,Amyotrophie spinale proximale,Tout âge,G12.0  G12.1,4531,-,-,253300  253400  253550  271150,1-9 / 100 000,SMA,-
71,Maladie de rétention des chylomicrons,"Enfance, Petite enfance",E78.6,9683,-,C535460,246700,<1 / 1 000 000,CMRD ; CRD ; MRC ; Maladie d'Anderson,C0795956
72,Syndrome d'Angelman,Petite enfance,Q93.5,5810,10049004,D017204,105830,1-9 / 100 000,-,C0162635
73,Maladie de Gorham-Stout,Tout âge,M89.5,6542,10071283,-,123880,Inconnu,Maladie de Gorham ; Maladie de la disparition des os ; Ostéolyse idiopathique massive ; Ostéolyse massive progressive ; Syndrome de Gorham,C0029438
74,Angiostrongylose,-,B81.3  B83.2,683,10069517,C536369,-,-,-,C0392662
76,Anguillulose,Tout âge,B78.0  B78.1  B78.7  B78.9,8195,10042254,D013322,-,Inconnu,Strongyloïdiase ; Strongyloïdose,C0038463  C0085810
77,Aniridie,"Petite enfance, Néonatal",Q13.1,5816,10002532,C538293  D015783,-,1-9 / 100 000,-,C0003076  C2931795
78,Ankylostomiase,Tout âge,B76.0  B76.1  B76.8  B76.9,9742,10002255  10020376,D000724  D006725,-,Inconnu,Ancylostomiase ; Ankylostomose,C0002831  C0019911
79,Déficit congénital en alpha2-antiplasmine,Enfance,D68.8,731,-,-,262850,<1 / 1 000 000,-,-
81,Syndrome des antisynthétases,"Adulte, Troisième age",M35.8,735,10068801,C537778,-,1-9 / 100 000,Syndrome anti-Jo1,C2609059
82,Thrombophilie héréditaire due au déficit congénital en antithrombine,-,D68.5,6148,-,-,613118,-,Thrombophilie héréditaire due au déficit congénital en antithrombine 3,-
83,Syndrome d'Antley-Bixler,Néonatal,Q87.0,5826,-,C537780,207410,<1 / 1 000 000,-,C0265307  C2936791
84,Anémie de Fanconi,Enfance,D61.0,6425,10055206,D005199,227645  227646  227650  300514  600901  603467  609053  609054  610832  613390  613951  614082  614083  615272  616435  617243  617244  617247,1-9 / 1 000 000,Pancytopénie de Fanconi,C0015625
85,Anémie dysérythropoïétique congénitale,Enfance,D64.4,1999,-,D000742,-,1-9 / 1 000 000,CDA,C0002876
86,Anévrisme familial de l'aorte abdominale,-,I71.4,-,-,-,100070  609782  611891  614375,-,-,-
87,Syndrome d'Apert,"Prénatal, Néonatal",Q87.0,5833,10002943,D000168,101200,1-9 / 100 000,ACS1 ; Acro-céphalo-syndactylie type 1,C0001193  C1510455
88,Aplasie médullaire idiopathique,Adulte,D61.0,5836,-,C538494,609135  614742  614743,1-9 / 1 000 000,-,C0348890
90,Argininémie,"Petite enfance, Enfance",E72.2,5840,10062695,D020162,207800,<1 / 1 000 000,Déficit en arginase ; Hyperargininémie,C0268548
91,Déficit en aromatase,Tout âge,E25.8,365,-,C537436,613546,<1 / 1 000 000,Déficit congénital en oestrogènes,C0853662  C0878680  C1960539
92,Arthrite juvénile idiopathique,Enfance,M08.0  M08.1  M08.2  M08.3  M08.4  M08.8  M08.9,-,10059177,D001171,-,Inconnu,Arthrite juvénile chronique ; Arthrite juvénile rhumatoïde,C0553662  C1444838  C3495559
93,Aspartylglucosaminurie,Enfance,E77.1,5854,10068220,C538402  D054880,208400,Inconnu,Déficit en aspartylglucosaminidase,C0268225  C2931840
94,Astrocytome,Tout âge,-,-,10003571,D001254,137800,1-9 / 100 000,Tumeur astrocytaire,C0004114
95,Ataxie de Friedreich,"Enfance, Adolescence",G11.1,6468,10017374,D005621,229300  601992,1-9 / 100 000,AF ; FRDA,C0016719
96,Ataxie par déficit en vitamine E,Tout âge,G11.1,8595,10047631,C535393,277460,1-9 / 1 000 000,AVED ; Ataxie par déficit isolé en vitamine E ; Ataxie type Friedreich-like ; Déficit familial isolé en vitamine E,C1848533
97,Ataxie paroxystique familiale,Enfance,G11.8,9602,-,-,108500,Inconnu,Ataxie épisodique type 2,C1720416
98,Ataxie spastique autosomique récessive de Charlevoix-Saguenay,"Petite enfance, Enfance, Adolescence, Adulte",G11.1,4910,-,C536787,270550,Inconnu,ARSACS ; Ataxie spastique autosomique récessive type 6 ; Ataxie spastique type 6 ; SPAX6,C1849140
99,Ataxie cérébelleuse autosomique dominante,Tout âge,G11.8,-,-,-,-,1-9 / 100 000,Ataxie spinocérébelleuse,-
100,Ataxie-télangiectasie,"Petite enfance, Enfance",G11.3,5862,10003594,D001260,208900  208910,1-9 / 1 000 000,Syndrome de Louis-Bar,C0004135
101,Atrophie dentato-rubro-pallido-luysienne,Tout âge,G11.8,5643,-,-,125370,1-9 / 1 000 000,ADRPL ; DRPLA ; Maladie de Naito-Oyanagi,C0751781
102,Atrophie multisystématisée,Adulte,G90.3,7079,10064060,D019578,146500,1-9 / 100 000,AMS ; Atrophie multisystémique ; MSA,C0393571
104,Neuropathie optique héréditaire de Leber,"Adolescence, Adulte",H47.2,6870,-,-,308905  535000,1-9 / 100 000,Atrophie optique de Leber ; LHON,C0917796
105,Atrésie de l'urètre,"Néonatal, Prénatal",Q64.3,-,10064895,-,-,-,Atrésie uréthrale,C0345345  C1610065
107,Syndrome BOR,Tout âge,Q87.8,10147,10071135,D019280,113650  610896,Inconnu,Syndrome branchio-oto-rénal,C0265234
108,Babésiose,Tout âge,B60.0,5878,10003965,D001404,-,<1 / 1 000 000,-,C0004576
109,Syndrome de Bannayan-Riley-Ruvalcaba,"Petite enfance, Néonatal",Q87.8,5887,-,-,153480,Inconnu,BRRS ; Syndrome de Myhre-Rikey-Smith,C0265326
110,Syndrome de Bardet-Biedl,"Petite enfance, Néonatal, Prénatal",Q87.8,6866,10056715,D020788,209900  600151  605231  615981  615982  615983  615984  615985  615986  615987  615988  615989  615990  615991  615992  615993  615994  615995  615996  617119  617406,1-9 / 1 000 000,BBS,C0752166
111,Syndrome de Barth,Enfance,E71.1,5890,-,D056889,302060,1-9 / 1 000 000,Acidurie 3-méthylglutaconique type 2 ; BTHS ; MGA2 ; Myopathie cardioquelettique et neutropénie liée à l'X ; Syndrome de myopathie cardiosquelettique-neutropénie,C0574083
112,Syndrome de Bartter,"Prénatal, Néonatal, Petite enfance, Enfance, Adolescence, Adulte",E26.8,5893,10050839,D001477,241200  300971  601198  601678  602522  607364  613090,Inconnu,Alcalose tubulaire rénale normotensive hypokaliémique avec hypercalciurie ; Tubulopathie avec fuite sodée type anse de Henle ; Tubulopathie avec perte de sel type anse de Henle,C0004775
113,Syndrome de Bazex-Dupré-Christol,"Petite enfance, Néonatal",L98.8,838,-,C537663,301845,<1 / 1 000 000,Atrophodermie folliculaire et carcinomes basocellulaires ; BDCS,C0346104
114,Auriculo-ostéodysplasie,Néonatal,Q87.5,8663,-,C538271,109000,<1 / 1 000 000,-,C1862381
115,Arachnodactylie congénitale avec contractures,Néonatal,Q68.8,5899,-,C536211,121050,Inconnu,Arthrogrypose distale type 9 ; Syndrome CCA ; Syndrome de Beals ; Syndrome de Beals-Hecht,C0220668
116,Syndrome de Beckwith-Wiedemann,"Néonatal, Prénatal",Q87.3,3343,10050344,D001506,130650,1-5 / 10 000,BWS ; Syndrome d'omphalocèle-macroglossie-gigantisme ; Syndrome de Wiedemann-Beckwith,C0004903
117,Maladie de Behçet,"Adulte, Adolescence, Enfance",M35.2,848,10004213,D001528,109650,1-9 / 100 000,-,C0004943
118,Bêta-mannosidose,"Petite enfance, Néonatal, Enfance, Adolescence, Adulte",E77.1,869,-,D044905,248510,Inconnu,Déficit en bêta-mannosidase lysosomale,C0342849  C2931893
119,Dystrophie musculaire des ceintures autosomique récessive type 2E,"Enfance, Adolescence",G71.0,3851  870,-,-,604286,1-9 / 1 000 000,Bêta-sarcoglycanopathie ; Dystrophie musculaire des ceintures par déficit en bêta-sarcoglycane ; LGMD2E,C1858593  C2930900
122,Syndrome de Birt-Hogg-Dubé,Adulte,-,2322,10067736,D058249,135150,1-9 / 1 000 000,Fibrofolliculome avec trichodiscome et acrochordons,C0346010
123,Syndrome de Björnstad,"Petite enfance, Néonatal",-,22,-,C537633,262000,<1 / 1 000 000,Syndrome de surdité-pili torti-hypogonadisme,C0266006
124,Anémie de Blackfan-Diamond,"Petite enfance, Néonatal, Enfance",D61.0,6274,10062989,D029503,105650  300946  606129  606164  610629  612527  612528  612561  612562  612563  613308  613309  614900  615550  615909  617408  617409,Inconnu,Anémie aplasique pure congénitale ; Anémie hypoplasique congénitale de Blackfan-Diamond ; Erythroblastopénie congénitale ; Maladie de Blackfan-Diamond ; Syndrome d'Aase ; Syndrome d'Aase-Smith type II,C1260899  C2931850
125,Syndrome de Bloom,"Néonatal, Prénatal",Q82.2,915,-,D001816,210900,Inconnu,BSyn,C0005859
126,Syndrome de blépharophimosis-ptosis-épicanthus inversus,Néonatal,Q10.3,-,-,-,110100,1-9 / 100 000,Blépharophimosis types 1 et 2,C0220663
127,Syndrome de Borjeson-Forssman-Lehmann,Néonatal,Q87.8,936,-,C536575,301900,<1 / 1 000 000,BFLS ; Syndrome de déficience intellectuelle-épilepsie-anomalies endocrines,C0265339
128,Diphyllobothriose,Tout âge,B70.0,942,10013029,-,-,<1 / 1 000 000,Bothriocéphalose,C0012561  C0277032
129,Pseudo-pelade de Brocq,Adulte,L66.0,4536,-,C531609,-,Inconnu,-,C0086873
130,Syndrome de Brugada,Adulte,I49.8,1030,10059027,D053840,601144  611777  611875  611876  612838  613119  613120  613123  616399,1-5 / 10 000,Fibrillation ventriculaire idiopathique type Brugada ; Syndrome de mort subite nocturne inattendue,C1142166  C1955837
131,Syndrome de Budd-Chiari,Tout âge,I82.0,5968,10006537,D006502,600880,1-9 / 100 000,-,C0019154  C0856761
132,Déficit en butyrylcholinestérase,"Petite enfance, Néonatal",-,7482,-,C537417,-,1-9 / 100 000,-,C1283400
133,Bérylliose chronique,Adulte,J63.2,867,10004485,D001607,-,Inconnu,Bérylliose ; Bérylliose pulmonaire chronique,C0005138  C0221052
134,Déficit en bêta-cétothiolase,Petite enfance,E71.1,872,-,-,203750,<1 / 1 000 000,Carence en bêta-cétothiolase ; Déficit en 3-cétothiolase ; Déficit en T2 ; Déficit en alpha-méthyl-acétoacétyl-CoA thiolase,C1536500
135,Syndrome CACH,Enfance,E75.2,231,-,C537420,603896  615889,Inconnu,Ataxie infantile avec hypomyélinisation diffuse du système nerveux central ; Leucoencéphalopathie avec perte de substance blanche ; Myélinolyse centrale diffuse,C1858991  C2931489
136,CADASIL,Adulte,F01.1,1049,10065551,D046589,125310,1-9 / 100 000,Syndrome de démence-infarctus cérébraux multiples héréditaires,C0751587
137,Anomalie congénitale de la glycosylation,"Petite enfance, Néonatal",E77.8,10307,-,-,-,Inconnu,CDG ; Syndrome des glycoprotéines déficientes en hydrates de carbone,C0282577
138,Syndrome CHARGE,Néonatal,Q87.8,29,10064063,D058747,214800,Inconnu,Association CHARGE ; Syndrome de Hall-Hittner,C0265354
139,Syndrome CHILD,"Petite enfance, Néonatal",Q87.8,6039,-,-,308050,<1 / 1 000 000,Naevus CHILD ; Syndrome d'hémidysplasie congénitale-naevus ichtyosiforme-anomalies des membres,C0265267
140,Dysplasie campomélique,"Néonatal, Prénatal",Q87.1,10027,-,D055036,114290  211990  602196,<1 / 1 000 000,Nanisme campomélique,C1861922
141,Maladie de Canavan,"Petite enfance, Néonatal, Enfance",E75.2,5984,10067608,D017825,271900,Inconnu,Déficit en ACY2 ; Déficit en aminoacylase 2 ; Déficit en aspartoacylase ; Dégénérescence spongieuse du cerveau,C0206307  C3542499
142,Cancer anaplasique de la thyroïde,"Adulte, Troisième age",C73,664,10002240,C536910,-,1-9 / 1 000 000,-,C0238461
143,Carcinome parathyroidien,Adulte,C75.0,7329,-,-,608266,1-9 / 1 000 000,Cancer de la parathyroïde,C0687150
144,Syndrome de Lynch,Adulte,D48.9,9905,10051981,D003123,120435  609310  613244  614331  614337  614350  614385,Inconnu,-,C1112155  C1333990
145,Syndrome héréditaire de prédisposition au cancer du sein et de l'ovaire,Tout âge,C50  C56,-,-,-,604370  612555  613399  614291,1-5 / 10 000,-,C0677776
146,Cancer différencié de la thyroïde,Adulte,C73,12027,-,-,188550  607464,Inconnu,Cancer bien différencié de la thyroïde ; Cancer papillaire ou folliculaire de la thyroïde,C0238463
147,Déficit en carbamoyl-phosphate synthétase 1,"Néonatal, Tout âge",E72.2,7269,10058297,-,237300,1-9 / 1 000 000,CPS1D ; Déficit en CPS1 ; Déficit en carbamoyl-phosphate synthétase ; Déficit en carbamoyl-phosphate synthétase I,C0751753
148,Déficit multiple en carboxylases,"Petite enfance, Néonatal",E53.8,-,10028176,D009100,-,Inconnu,MCD,C0026755
150,Carcinome nasopharyngé,Tout âge,C11.0  C11.1  C11.2  C11.3,7163,10028793,C538339,161550  607107  617075,1-9 / 100 000,Carcinome épidermoïde du nasopharynx,C0153392  C0238301  C2931822
154,Cardiomyopathie dilatée familiale isolée,Tout âge,I42.0,2905,-,-,115200  302045  600884  601154  601493  601494  604145  604288  604765  605582  606685  607482  608569  609909  609915  611407  611615  611878  611879  611880  612158  612877  613122  613172  613252  613286  613424  613426  613642  613694  613697  613881  614672  615184  615235  615248  615373  615396  615916,1-5 / 10 000,Cardiomyopathie dilatée idiopathique ou familiale,C0340427
156,Déficit en carnitine palmitoyltransférase 1A,"Petite enfance, Néonatal",E71.3,1120,-,-,255120,<1 / 1 000 000,Déficit en CPT-1A ; Déficit en L-CPT1 ; Déficit en L-CPTI ; Déficit en carnitine palmitoyltransférase 1 hépatique ; Déficit en carnitine palmitoyltransférase I hépatique ; Déficit en carnitine palmitoyltransférase IA,C1829703
157,Déficit en carnitine palmitoyltransférase II,Tout âge,E71.3,1121,-,C535589,255110  600649  608836,1-9 / 100 000,CPT2 ; CPTII ; Déficit en carnitine palmitoyltransférase type 2,C0342790
158,Déficit systémique primaire en carnitine,"Petite enfance, Néonatal",E71.3,5104,-,-,212140,-,CDSP ; CUD ; Défaut de captation de la carnitine cellulaire ; Déficit en transporteur de la carnitine ; SPCD,C0342788
159,Déficit en carnitine-acylcarnitine translocase,"Petite enfance, Néonatal",E71.3,1123,-,-,212138,<1 / 1 000 000,Déficit en CACT,C0342791
160,Maladie de Castleman,Tout âge,D47.4,12656,10050251,C536362  D005871,148000,Inconnu,Hyperplasie ganglionnaire angiofolliculaire ; Hyperplasie lymphoïde angiofolliculaire ; Pseudotumeur de Castleman,C0017531  C2931179
162,Syndrome de cataracte-glaucome,"Petite enfance, Néonatal",Q12.0,1160,-,-,-,<1 / 1 000 000,-,-
163,Syndrome d'hyperferritinémie-cataracte héréditaire,Tout âge,H26.0,2806,-,C538137,600886,<1 / 1 000 000,HHCS ; Syndrome de Bonneau-Beaumont,C1833213
165,Lipidose avec surcharge en triglycérides,"Petite enfance, Néonatal",E75.5,3262,-,C536560,-,<1 / 1 000 000,-,C0268238
166,Maladie de Charcot-Marie-Tooth/Neuropathie sensitivo-motrice héréditaire,Tout âge,G60.0,6034,10034699,D002607,-,1-5 / 10 000,CMT/HMSN ; Neuropathie héréditaire de Charcot-Marie-Tooth,C0007959
167,Syndrome de Chédiak-Higashi,Enfance,E70.3,6035,10008415,D002609,214500,Inconnu,Maladie de Chédiak-Higashi ; Syndrome de Chédiak-Higashi-Steinbrinck,C0007965
168,Maladie des cheveux anagènes caducs,Enfance,L65.1,3287,-,D058247,600628,Inconnu,-,C0406468
169,Maladie des cheveux annelés,Enfance,Q84.1,4359  4725,-,C537187,180600,Inconnu,Pili annulati,C0263489
170,Cheveux laineux,"Petite enfance, Néonatal",Q84.1,5597,10048017,C536745,194300  278150  604379  615896  616760,Inconnu,Syndrome des cheveux laineux familial ; Syndrome des cheveux laineux héréditaire,C0343073  C0345427
