id;OrphaNumber;ExpertLink;Name;Type;statut;Synonymes;nsyn;ICD-10;MedDRA;MeSH;OMIM;UMLS
177;16;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=16;Blue cone monochromatism;Disease;on-line;"Atypical X-linked achromatopsia ; Blue cone monochromacy ; Color blindness, blue monocone monochromatic type ; S cone monochromacy ; S cone monochromatism ; X-linked incomplete achromatopsia";6;H53.5;"";"C536238 ; C538165";303700;"C0339537 ; C2931753"
776;17;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=17;Fatal infantile lactic acidosis with methylmalonic aciduria;Disease;on-line;;;E71.1;"";"";245400;""
3621;18;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=18;Distal renal tubular acidosis;Disease;on-line;"Classic RTA ; Familial distal primary acidosis ; Renal tubular acidosis type 1 ; dRTA";4;N25.8;10045224;"";"179800 ; 267300 ; 602722 ; 611590";"C1704380 ; C0259810"
3362;19;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=19;2-hydroxyglutaric aciduria;Group of phenomes;on-line;2-hydroxyglutaric acidemia;1;E72.8;"";"";"";C2746066
3296;20;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=20;3-hydroxy-3-methylglutaric aciduria;Disease;on-line;"3-hydroxy-3-methylglutaryl-CoA lyase deficiency ; HMG-CoA lyase deficiency ; Hydroxymethylglutaric aciduria";3;E71.1;"";"";246450;"C1533587 ; C0268601"
402;22;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=22;Succinic semialdehyde dehydrogenase deficiency;Disease;on-line;"4-hydroxybutyric aciduria ; Gamma-hydroxybutyric aciduria ; SSADH deficiency";3;E72.8;"";"";271980;C0268631
459;23;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=23;Argininosuccinic aciduria;Disease;on-line;"ASA deficiency ; ASL deficiency ; Argininosuccinase deficiency ; Argininosuccinatelyase deficiency ; Argininosuccinic acid lyase deficiency";5;E72.2;10058299;D056807;207900;C0268547
3376;24;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=24;Fumaric aciduria;Disease;on-line;Fumarase deficiency;1;E88.8;"";C538191;606812;"C0342770 ; C2936826"
3564;25;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=25;Glutaryl-CoA dehydrogenase deficiency;Disease;on-line;"GA1 ; GCDHD ; Glutaric acidemia type 1 ; Glutaric aciduria type 1 ; Glutaryl-coenzyme A dehydrogenase deficiency";5;E72.3;"";C536833;231670;C0268595
710;26;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=26;Methylmalonic acidemia with homocystinuria;Disease;on-line;"Combined defect in adenosylcobalamin and methylcobalamin synthesis ; Methylmalonic aciduria with homocystinuria";2;E71.1;"";C537359;"277380 ; 277400 ; 277410 ; 614857";C1848561
1263;27;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=27;Vitamin B12-unresponsive methylmalonic acidemia;Disease;on-line;"Methylmalonyl-CoA mutase deficiency ; Methylmalonyl-Coenzyme A mutase deficiency ; Vitamin B12-unresponsive methylmalonic aciduria";3;E71.1;"";"";251000;C1855114
3260;28;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=28;Vitamin B12-responsive methylmalonic acidemia;Disease;on-line;"Adenosylcobalamin deficiency ; Vitamin B12-responsive methylmalonic aciduria";2;E71.1;"";"";"251100 ; 251110 ; 277410";""
403;29;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=29;Mevalonic aciduria;Disease;on-line;"Complete mevalonate kinase deficiency ; MVA";2;E88.8;10072219;D054078;610377;"C0342731 ; C1959626"
404;30;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=30;Hereditary orotic aciduria;Disease;on-line;"Orotidylic decarboxylase deficiency ; Uridine monophosphate synthetase deficiency";2;E79.8;10052621;C537136;258900;"C0220987 ; C0268130"
1259;31;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=31;Oxoglutaric aciduria;Disease;on-line;Alpha-ketoglutarate dehydrogenase deficiency;1;E88.8;"";C536582;203740;C2752074
711;32;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=32;Glutathione synthetase deficiency;Disease;on-line;Pyroglutamicaciduria;1;D55.1;"";C536835;"231900 ; 266130";"C1291643 ; C0398746"
399;33;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=33;Isovaleric acidemia;Disease;on-line;Isovaleric acid CoA dehydrogenase deficiency;1;E71.1;"";C538167;243500;C0268575
3373;34;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=34;Pipecolic acidemia;Disease;"Deprecated entity ; on-line";Hyperpipecolatemia;1;"";"";D018901;239400;"C0268537 ; C0282526"
3557;35;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=35;Propionic acidemia;Disease;on-line;"Ketotic hyperglycinemia ; Propionic aciduria ; Propionyl-CoA carboxylase deficiency";3;E71.1;"";D056693;606054;"C0268579 ; C0311298 ; C2717876"
405;36;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=36;Acrocallosal syndrome;Malformation syndrome;on-line;ACS;1;Q04.0;"";"";200990;"C2931760 ; C0796147"
1268;37;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=37;Acrodermatitis enteropathica;Disease;on-line;"AEZ ; Acrodermatitis enteropathica, zinc deficiency type ; Inherited zinc deficiency";3;E83.2;"";"";201100;C0221036
8624;38;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=38;Acrokeratoelastoidosis of Costa;Disease;on-line;"AKE ; PPKP3 ; Punctate palmoplantar hyperkeratosis type 3 ; Punctate palmoplantar keratoderma type 3";4;Q82.8;"";C535653;101850;C0545044
8625;39;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=39;Acromelanosis;Disease;on-line;;;L81.4;"";"";"";C0406779
1288;40;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=40;Acromesomelic dysplasia, Maroteaux type;Malformation syndrome;on-line;;;Q77.8;"";C535661;602875;C1864356
8626;41;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=41;Dyschromatosis symmetrica hereditaria;Disease;on-line;Acropigmentation of Dohi;1;L81.8;"";C535729;127400;C0406775
3570;42;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=42;Medium chain acyl-CoA dehydrogenase deficiency;Disease;on-line;"ACADM deficiency ; Carnitine deficiency secondary to medium-chain acyl-CoA dehydrogenase deficiency ; MCAD deficiency ; MCADD ; Medium chain acyl-coenzyme A dehydrogenase deficiency";5;E71.3;"";C536038;201450;C0220710
761;43;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=43;X-linked adrenoleukodystrophy;Disease;on-line;"ALD ; X-ALD ; X-linked ALD";3;E71.3;10051260;D000326;"300100 ; 302700";C0162309
410;44;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=44;Neonatal adrenoleukodystrophy;Disease;on-line;NALD;1;E71.3;"";D018901;"202370 ; 266510 ; 601539 ; 614863 ; 614867 ; 614871 ; 614873 ; 614877 ; 614885 ; 614920 ; 617370";C0282525
458;45;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=45;Adenosine monophosphate deaminase deficiency;Disease;on-line;"AMP deaminase deficiency ; Myoadenylate deaminase deficiency";2;G71.3;"";C538234;"612874 ; 615511";"C0268123 ; C2931781"
763;46;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=46;Adenylosuccinate lyase deficiency;Disease;on-line;"ADSL deficiency ; Adenylosuccinase deficiency";2;E79.8;"";C538235;103050;C0268126
142;47;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=47;X-linked agammaglobulinemia;Clinical subtype;on-line;"BTK-deficiency ; Bruton type agammaglobulinemia";2;D80.0;10060360;C537409;"300310 ; 300755";C0221026
1000;48;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=48;Congenital bilateral absence of vas deferens;Morphological anomaly;on-line;"Congenital bilateral agenesis of vas deferens ; Congenital bilateral aplasia of vas deferens";2;Q55.4;10010670;C535984;"277180 ; 300985";C0403814
8708;49;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=49;Penile agenesis;Morphological anomaly;on-line;"Aphallia ; Penis agenesis";2;Q55.5;"";C536649;"";C1387005
254;50;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=50;Aicardi syndrome;Disease;on-line;Agenesis of corpus callosum with chorioretinal abnormality;1;Q04.0;10054935;D058540;304050;C0175713
1309;51;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=51;Aicardi-Goutières syndrome;Disease;on-line;"Encephalopathy with basal ganglia calcification ; Encephalopathy with intracranial calcification and chronic lymphocytosis of cerebrospinal fluid";2;G31.8;"";C535607;"114100 ; 225750 ; 610181 ; 610329 ; 610333 ; 612952 ; 615010 ; 615846";C0393591
253;52;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=52;Alagille syndrome;Malformation syndrome;on-line;"Alagille-Watson syndrome ; Arteriohepatic dysplasia ; Syndromic bile duct paucity";3;Q44.7;10053870;D016738;"118450 ; 610205";C0085280
255;53;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=53;Albers-Schönberg osteopetrosis;Malformation syndrome;on-line;Osteopetrosis autosomal dominant type 2;1;Q78.2;"";"";166600;C3179239
629;54;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=54;X-linked recessive ocular albinism;Disease;on-line;"OA1 ; Ocular albinism type 1 ; Ocular albinism, Nettleship-Falls type ; XLOA";4;E70.3;"";C537863;300500;C0342684
311;55;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=55;Oculocutaneous albinism;Group of phenomes;on-line;OCA;1;E70.3;"";D016115;"";C0078918
411;56;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=56;Alkaptonuria;Disease;on-line;"Hereditary ochronosis ; Homogentisic acid oxidase deficiency";2;E70.2;10001689;"C537862 ; D000474";203500;"C0002066 ; C2931645"
738;57;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=57;Glycogen storage disease due to aldolase A deficiency;Disease;on-line;"GSD due to aldolase A deficiency ; GSD type 12 ; GSD type XII ; Glycogen storage disease type 12 ; Glycogen storage disease type XII ; Glycogenosis due to aldolase A deficiency ; Glycogenosis type 12 ; Glycogenosis type XII";8;E74.0;"";"";611881;C0272066
2;58;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=58;Alexander disease;Disease;on-line;AxD;1;E75.2;"";D038261;203450;C0270726
1315;59;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=59;Allan-Herndon-Dudley syndrome;Disease;on-line;"AHDS ; MCT8 deficiency ; Monocarboxylate transporter 8 deficiency ; X-linked intellectual disability-hypotonia syndrome";4;G31.8;"";C537047;300523;C0795889
194;60;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=60;Alpha-1-antitrypsin deficiency;Disease;on-line;;;E88.0;10001806;"D019896 ; C531610";613490;"C0221757 ; C3501835"
3;61;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=61;Alpha-mannosidosis;Disease;on-line;Lysosomal alpha-D-mannosidase deficiency;1;E77.1;"";D008363;248500;C0024748
678;62;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=62;Autosomal recessive limb-girdle muscular dystrophy type 2D;Disease;on-line;"Alpha-sarcoglycanopathy ; LGMD2D ; Limb-girdle muscular dystrophy due to alpha-sarcoglycan deficiency";3;G71.0;"";"";608099;"C1842550 ; C2936332"
630;63;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=63;Alport syndrome;Disease;on-line;Alport deafness-nephropathy;1;Q87.8;10001843;D009394;"104200 ; 203780 ; 301050";C1567741
1328;64;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=64;Alström syndrome;Disease;on-line;;;Q87.8;10068783;D056769;203800;C0268425
3243;65;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=65;Leber congenital amaurosis;Disease;on-line;Amaurosis congenita of Leber;1;H35.5;10070667;D057130;"179900 ; 204000 ; 204100 ; 604232 ; 604393 ; 604537 ; 608553 ; 610612 ; 611755 ; 612712 ; 613341 ; 613826 ; 613829 ; 613835 ; 613837 ; 613843 ; 614186 ; 615360";C0339527
3534;67;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=67;Amoebiasis due to Entamoeba histolytica;Disease;on-line;;;"A06.0 ; A06.1 ; A06.2 ; A06.3 ; A06.4 ; A06.5 ; A06.6 ; A06.7 ; A06.8 ; A06.9";"";C531613;"";C2930799
8535;68;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=68;Amoebiasis due to free-living amoebae;Disease;on-line;;;"B60.1 ; B60.2";"";"";"";""
632;69;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=69;Amyloidosis;Group of phenomes;"on-line ; Category";;;"E85.0 ; E85.1 ; E85.2 ; E85.3 ; E85.4 ; E85.8 ; E85.9";10002022;D000686;"";C0002726
633;70;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=70;Proximal spinal muscular atrophy;Disease;on-line;SMA;1;"G12.0 ; G12.1";"";"";"253300 ; 253400 ; 253550 ; 271150";""
998;71;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=71;Chylomicron retention disease;Disease;on-line;"Anderson disease ; CMRD ; CRD";3;E78.6;"";C535460;246700;C0795956
90;72;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=72;Angelman syndrome;Malformation syndrome;on-line;;;Q93.5;10049004;D017204;105830;C0162635
8684;73;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=73;Gorham-Stout disease;Malformation syndrome;on-line;"Gorham disease ; Gorham syndrome ; Idiopathic massive osteolysis ; Progressive massive osteolysis ; Vanishing bone disease";5;M89.5;10071283;"";123880;C0029438
8536;74;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=74;Angiostrongyliasis;Disease;on-line;;;"B81.3 ; B83.2";10069517;C536369;"";C0392662
8537;76;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=76;Strongyloidiasis;Disease;on-line;"Anguilluliasis ; Anguillulosis";2;"B78.0 ; B78.9 ; B78.1 ; B78.7";10042254;D013322;"";"C0038463 ; C0085810"
6018;77;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=77;Aniridia;Group of phenomes;"on-line ; Category";;;;;;;
8538;78;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=78;Ankylostomiasis;Disease;on-line;"Ancylostomiasis ; Hookworm infection";2;"B76.1 ; B76.9 ; B76.8 ; B76.0";"10002255 ; 10020376";"D000724 ; D006725";"";"C0002831 ; C0019911"
3335;79;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=79;Congenital alpha2-antiplasmin deficiency;Disease;on-line;;;D68.8;"";"";262850;""
8611;81;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=81;Antisynthetase syndrome;Disease;on-line;"AS syndrome ; Anti-Jo1 syndrome";2;M35.8;10068801;C537778;"";C2609059
3590;82;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=82;Hereditary thrombophilia due to congenital antithrombin deficiency;Disease;on-line;Hereditary thrombophilia due to congenital antithrombin 3 deficiency;1;D68.5;"";"";613118;""
1391;83;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=83;Antley-Bixler syndrome;Malformation syndrome;on-line;;;Q87.0;"";C537780;207410;"C0265307 ; C2936791"
634;84;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=84;Fanconi anemia;Malformation syndrome;on-line;Fanconi pancytopenia;1;D61.0;10055206;D005199;"617883 ; 617243 ; 617244 ; 617247 ; 227645 ; 227646 ; 227650 ; 300514 ; 600901 ; 603467 ; 609053 ; 609054 ; 610832 ; 613390 ; 613951 ; 614082 ; 614083 ; 615272 ; 616435";C0015625
3565;85;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=85;Congenital dyserythropoietic anemia;Group of phenomes;on-line;CDA;1;D64.4;"";D000742;"";C0002876
1010;86;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=86;Familial abdominal aortic aneurysm;Disease;on-line;;;I71.4;"";"";"100070 ; 609782 ; 611891 ; 614375";""
261;87;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=87;Apert syndrome;Malformation syndrome;on-line;"ACS1 ; Acrocephalosyndactyly type 1";2;Q87.0;10002943;D000168;101200;"C1510455 ; C0001193"
8751;88;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=88;Idiopathic aplastic anemia;Disease;on-line;Idiopathic bone marrow failure;1;D61.0;"";C538494;"609135 ; 614742 ; 614743";C0348890
417;90;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=90;Argininemia;Disease;on-line;"Arginase deficiency ; Hyperargininemia";2;E72.2;10062695;D020162;207800;C0268548
8670;91;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=91;Aromatase deficiency;Disease;on-line;Congenital estrogen deficiency;1;E25.8;"";C537436;613546;"C1960539 ; C0878680 ; C0853662"
720;92;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=92;Juvenile idiopathic arthritis;Group of phenomes;on-line;"Juvenile chronic arthritis ; Juvenile rheumatoid arthritis";2;"M08.3 ; M08.4 ; M08.8 ; M08.9 ; M08.0 ; M08.2 ; M08.1";10059177;D001171;"";"C0553662 ; C1444838 ; C3495559"
5;93;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=93;Aspartylglucosaminuria;Disease;on-line;Aspartylglucosaminidase deficiency;1;E77.1;10068220;"C538402 ; D054880";208400;"C0268225 ; C2931840"
3754;94;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=94;Astrocytoma;Group of phenomes;on-line;Astrocytic tumor;1;"";10003571;D001254;137800;C0004114
45;95;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=95;Friedreich ataxia;Disease;on-line;"FA ; FRDA";2;G11.1;10017374;D005621;"229300 ; 601992";C0016719
149;96;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=96;Ataxia with vitamin E deficiency;Disease;on-line;"AVED ; Ataxia with isolated vitamin E deficiency ; Familial isolated vitamin E deficiency ; Friedreich-like ataxia ; Isolated vitamin E deficiency";5;G11.1;10047631;C535393;277460;C1848533
264;97;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=97;Familial paroxysmal ataxia;Disease;on-line;Episodic ataxia type 2;1;G11.8;"";"";108500;C1720416
816;98;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=98;Autosomal recessive spastic ataxia of Charlevoix-Saguenay;Disease;on-line;"ARSACS ; Autosomal recessive spastic ataxia type 6 ; SPAX6";3;G11.1;"";C536787;270550;C1849140
263;99;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=99;Autosomal dominant cerebellar ataxia;Group of phenomes;"on-line ; Category";"ADCA ; Autosomal dominant spinocerebellar ataxia";2;G11.8;"";"";"";""
104;100;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=100;Ataxia-telangiectasia;Disease;on-line;Louis-Bar syndrome;1;G11.3;10003594;D001260;"208900 ; 208910";C0004135
150;101;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=101;Dentatorubral pallidoluysian atrophy;Disease;on-line;"DRPLA ; Dentatorubropallidoluysian atrophy ; Naito-Oyanagi disease";3;G11.8;"";"";125370;C0751781
8744;102;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=102;Multiple system atrophy;Disease;on-line;"MSA ; Multisystem atrophy";2;G90.3;10064060;D019578;146500;C0393571
167;104;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=104;Leber hereditary optic neuropathy;Disease;on-line;"LHON ; Leber optic atrophy";2;H47.2;"";"";"308905 ; 535000";C0917796
8698;105;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=105;Atresia of urethra;Morphological anomaly;on-line;Urethral atresia;1;Q64.3;10064895;"";"";"C0345345 ; C1610065"
237;107;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=107;BOR syndrome;Malformation syndrome;on-line;Branchiootorenal syndrome;1;Q87.8;10071135;D019280;"113650 ; 610896";C0265234
8539;108;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=108;Babesiosis;Disease;on-line;;;B60.0;10003965;D001404;"";C0004576
1473;109;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=109;Bannayan-Riley-Ruvalcaba syndrome;Malformation syndrome;on-line;"BRRS ; Myhre-Riley-Smith syndrome";2;Q87.8;"";"";158350;C0265326
3244;110;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=110;Bardet-Biedl syndrome;Disease;on-line;BBS;1;Q87.8;10056715;D020788;"617119 ; 209900 ; 600151 ; 605231 ; 615981 ; 615982 ; 615983 ; 615984 ; 615985 ; 615986 ; 615987 ; 615988 ; 615989 ; 615990 ; 615991 ; 615992 ; 615993 ; 615994 ; 615995 ; 615996 ; 617406";C0752166
1059;111;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=111;Barth syndrome;Disease;on-line;"3-methylglutaconic aciduria type 2 ; BTHS ; Cardioskeletal myopathy with neutropenia and abnormal mitochondria ; Cardioskeletal myopathy-neutropenia syndrome ; MGA2 ; X-linked cardioskeletal myopathy and neutropenia";6;E71.1;"";D056889;302060;C0574083
259;112;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=112;Bartter syndrome;Disease;on-line;"Renal tubular normotensive hypokalemic alkalosis with hypercalciuria ; Salt-losing tubular disorder, Henle's loop type ; Salt-wasting tubulopathy, Henle's loop type";3;E26.8;10050839;D001477;"241200 ; 601198 ; 601678 ; 602522 ; 607364 ; 613090 ; 300971";C0004775
1009;113;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=113;Bazex-Dupré-Christol syndrome;Disease;on-line;"BDCS ; Follicular atrophoderma and basal cell carcinomas";2;L98.8;"";C537663;301845;C0346104
1482;114;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=114;Auriculoosteodysplasia;Malformation syndrome;"Historical entity ; on-line";;;Q87.5;"";C538271;109000;C1862381
1481;115;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=115;Congenital contractural arachnodactyly;Malformation syndrome;on-line;"Beals syndrome ; Beals-Hecht syndrome ; CCA syndrome ; Distal arthrogryposis type 9";4;Q68.8;"";C536211;121050;C0220668
260;116;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=116;Beckwith-Wiedemann syndrome;Malformation syndrome;on-line;"BWS ; Exomphalos-macroglossia-gigantism syndrome ; Wiedemann-Beckwith syndrome";3;Q87.3;10050344;D001506;130650;C0004903
703;117;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=117;Behçet disease;Disease;on-line;;;M35.2;10004213;D001528;109650;C0004943
7;118;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=118;Beta-mannosidosis;Disease;on-line;Beta-mannosidase deficiency;1;E77.1;"";D044905;248510;"C0342849 ; C2931893"
8715;119;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=119;Autosomal recessive limb-girdle muscular dystrophy type 2E;Disease;on-line;"Beta-sarcoglycanopathy ; LGMD2E ; Limb-girdle muscular dystrophy due to beta-sarcoglycan deficiency";3;G71.0;"";"";604286;"C1858593 ; C2930900"
8627;122;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=122;Birt-Hogg-Dubé syndrome;Malformation syndrome;on-line;Fibrofolliculomas with trichodiscomas and acrochordons;1;"";10067736;D058249;135150;C0346010
8566;123;http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=123;Björnstad syndrome;Disease;on-line;Deafness-pili torti-hypogonadism syndrome;1;"";"";C537633;262000;C0266006
